# Textbook costs (USD) of a random sample of 63 BYU students in 2018 rounded to the nearest dollar
cost
164
250
275
200
0
100
275
200
185
250
197
160
200
100
200
200
330
160
160
190
170
180
150
220
275
150
330
313
200
225
310
112
80
230
130
150
400
150
150
300
230
85
135
84
300
300
300
400
230
150
200
358
150
150
358
225
150
103
256
225
103
185
256
